Market,Session,Trendline Slope
IOSTUSDT,tokyo,0.026502177068213773
ILVUSDT,tokyo,0.02649867374005343
SPELLUSDT,tokyo,0.02634247917687408
OSMOUSDT,tokyo,0.026282051282049055
MINAUSDT,tokyo,0.02613412228796816
IOTXUSDT,tokyo,0.026120401337793316
ALCHUSDT,tokyo,0.026096153846153707
EIGENUSDT,tokyo,0.026080886326787806
QNTUSDT,tokyo,0.025941787941788065
RLCUSDT,tokyo,0.02572115384615391
NEIROETHUSDT,tokyo,0.025358974358975137
ARKMUSDT,tokyo,0.025303643724696748
CHILLGUYUSDT,tokyo,0.025251629726205194
BSVUSDT,tokyo,0.02497863247863378
POLUSDT,tokyo,0.024897435897434497
1000BONKUSDT,tokyo,0.024690891930155754
BNXUSDT,tokyo,0.02468412438625237
MAJORUSDT,tokyo,0.024615384615385188
PEAQUSDT,tokyo,0.024615384615384896
SENDUSDT,tokyo,0.024532967032969165
SONICUSDT,tokyo,0.0245254745254745
DGBUSDT,tokyo,0.0245066045066037
ALPACAUSDT,tokyo,0.02416181428133626
UMAUSDT,tokyo,0.02377926421404613
10000COQUSDT,tokyo,0.023761194029851225
GNOUSDT,tokyo,0.023643356643358444
STGUSDT,tokyo,0.023561253561254554
TNSRUSDT,tokyo,0.023479020979022068
ONGUSDT,tokyo,0.023411371237458435
QIUSDT,tokyo,0.023365384615386
IDUSDT,tokyo,0.02314814814814821
EGLDUSDT,tokyo,0.022991452991452853
1INCHUSDT,tokyo,0.022527472527473384
ONTUSDT,tokyo,0.02216666666666648
OMUSDT,tokyo,0.022152508361201056
DATAUSDT,tokyo,0.02207264957264969
FORTHUSDT,tokyo,0.022000608087564873
VANAUSDT,tokyo,0.02180371352785214
10000QUBICUSDT,tokyo,0.0217194570135768
LSKUSDT,tokyo,0.021709401709401003
ALEOUSDT,tokyo,0.021480769230769067
MNTUSDT,tokyo,0.021404682274250172
10000000AIDOGEUSDT,tokyo,0.021153846153847144
MOCAUSDT,tokyo,0.021031894934333217
PIPPINUSDT,tokyo,0.020925480769231335
BOMEUSDT,tokyo,0.02079487179487251
BSWUSDT,tokyo,0.020712250712251048
IOUSDT,tokyo,0.020542986425338545
HFTUSDT,tokyo,0.020452488687782076
SWEATUSDT,tokyo,0.020295857988165363
DYDXUSDT,tokyo,0.020069930069929725
BATUSDT,tokyo,0.019855769230769715
GASUSDT,tokyo,0.019717948717952537
LAIUSDT,tokyo,0.01935483870967635
OLUSDT,tokyo,0.01887362637362596
ASTRUSDT,tokyo,0.018589743589743864
JOEUSDT,tokyo,0.018424908424907703
SEIUSDT,tokyo,0.018214285714286727
IMXUSDT,tokyo,0.018140214216163093
CYBERUSDT,tokyo,0.017859531772576008
ARCUSDT,tokyo,0.017534335396404314
KAIAUSDT,tokyo,0.017472527472531366
MOVEUSDT,tokyo,0.017135278514589593
ALUUSDT,tokyo,0.016836228287841943
NYANUSDT,tokyo,0.016785009861933074
PRCLUSDT,tokyo,0.01576923076923016
DUCKUSDT,tokyo,0.015632060247444842
SWARMSUSDT,tokyo,0.015547415547415618
10000WHYUSDT,tokyo,0.015054945054945788
DUSKUSDT,tokyo,0.014623481781376827
SLERFUSDT,tokyo,0.014505494505491831
BANUSDT,tokyo,0.014297188755019827
TRUUSDT,tokyo,0.014264507422401672
PROMUSDT,tokyo,0.014117647058822427
QTUMUSDT,tokyo,0.014080586080586096
LRCUSDT,tokyo,0.01366863905325456
LUMIAUSDT,tokyo,0.013504273504273008
MBLUSDT,tokyo,0.013269230769229494
FDUSDUSDT,tokyo,0.012820512820557229
RAYDIUMUSDT,tokyo,0.012777868318122684
OXTUSDT,tokyo,0.01186028257457003
MAXUSDT,tokyo,0.01142307692307734
AVAAIUSDT,tokyo,0.01105233056905905
SAFEUSDT,tokyo,0.010645604395602854
UXLINKUSDT,tokyo,0.010465116279069531
SOLUSDT,tokyo,0.008770545693623094
KAVAUSDT,tokyo,0.008578088578090316
BAKEUSDT,tokyo,0.008218623481781684
LOOKSUSDT,tokyo,0.007279549718574096
RENUSDT,tokyo,0.006858974358975063
HIPPOUSDT,tokyo,0.006435897435899234
AUCTIONUSDT,tokyo,0.005996963562753058
POPCATUSDT,tokyo,0.005276442307692287
CROUSDT,tokyo,0.005274725274724839
ANKRUSDT,tokyo,0.004679487179486854
TAIKOUSDT,tokyo,0.0041758241758236975
GRIFFAINUSDT,tokyo,0.003522450400278444
PLUMEUSDT,tokyo,0.002652041099695312
SXPUSDT,tokyo,0.0024403183023861243
PRIMEUSDT,tokyo,0.0007051282051269479
